Time,Data
0.69726 sec,0.802648702968433
0.69826 sec,0.801009303693865
0.69926 sec,0.799274337792267
0.70026 sec,0.797444058697113
0.70126 sec,0.795518728790654
0.70226 sec,0.793498619380428
0.70326 sec,0.791384010674914
0.70426 sec,0.789175191758298
0.70526 sec,0.78687246056437
0.70626 sec,0.784476123849557
0.70726 sec,0.781986497165076
0.70826 sec,0.779403904828244
0.70926 sec,0.776728679892896
0.71026 sec,0.773961164118973
0.71126 sec,0.771101707941229
0.71226 sec,0.768150670437102
0.71326 sec,0.765108419293713
0.71426 sec,0.761975330774043
0.71526 sec,0.75875178968224
0.71626 sec,0.755438189328094
0.71726 sec,0.752034931490677
0.71826 sec,0.748542426381135
0.71926 sec,0.74496109260466
0.72026 sec,0.741291357121625
0.72126 sec,0.737533655207892
0.72226 sec,0.733688430414309
0.72326 sec,0.729756134525368
0.72426 sec,0.725737227517069
0.72526 sec,0.721632177513966
0.72626 sec,0.7174414607454
0.72726 sec,0.713165561500939
0.72826 sec,0.708804972085006
0.72926 sec,0.704360192770732
0.73026 sec,0.699831731752998
0.73126 sec,0.695220105100699
0.73226 sec,0.690525836708237
0.73326 sec,0.685749458246218
0.73426 sec,0.680891509111388
0.73526 sec,0.675952536375801
0.73626 sec,0.670933094735219
0.73726 sec,0.665833746456748
0.73826 sec,0.660655061325754
0.73926 sec,0.655397616591971
0.74026 sec,0.650061996914927
0.74126 sec,0.644648794308586
0.74226 sec,0.639158608085279
0.74326 sec,0.633592044798909
0.74426 sec,0.627949718187418
0.74526 sec,0.622232249114552
0.74626 sec,0.616440265510906
0.74726 sec,0.610574402314259
0.74826 sec,0.60463530140922
0.74926 sec,0.598623611566171
0.75026 sec,0.592539988379518
0.75126 sec,0.58638509420528
0.75226 sec,0.580159598097961
0.75326 sec,0.573864175746786
0.75426 sec,0.567499509411261
0.75526 sec,0.561066287856063
0.75626 sec,0.554565206285293
0.75726 sec,0.547996966276073
0.75826 sec,0.541362275711497
0.75926 sec,0.534661848712969
0.76026 sec,0.527896405571891
0.76126 sec,0.521066672680731
0.76226 sec,0.51417338246349
0.76326 sec,0.507217273305563
0.76426 sec,0.50019908948298
0.76526 sec,0.493119581091054
0.76626 sec,0.485979503972466
0.76726 sec,0.478779619644743
0.76826 sec,0.471520695227174
0.76926 sec,0.464203503367162
0.77026 sec,0.456828822165995
0.77126 sec,0.449397435104096
0.77226 sec,0.441910130965709
0.77326 sec,0.434367703763038
0.77426 sec,0.426770952659875
0.77526 sec,0.419120681894697
0.77626 sec,0.411417700703239
0.77726 sec,0.403662823240568
0.77826 sec,0.395856868502644
0.77926 sec,0.388000660247399
0.78026 sec,0.380095026915332
0.78126 sec,0.372140801549615
0.78226 sec,0.36413882171572
0.78326 sec,0.356089929420609
0.78426 sec,0.347994971031448
0.78526 sec,0.339854797193885
0.78626 sec,0.331670262749872
0.78726 sec,0.323442226655082
0.78826 sec,0.315171551895873
0.78926 sec,0.306859105405866
0.79026 sec,0.298505757982078
0.79126 sec,0.290112384200696
0.79226 sec,0.281679862332436
0.79326 sec,0.27320907425752
0.79426 sec,0.264700905380288
0.79526 sec,0.256156244543434
0.79626 sec,0.247575983941886
0.79726 sec,0.23896101903634
0.79826 sec,0.230312248466458
0.79926 sec,0.221630573963717
0.80026 sec,0.21291690026394
0.80126 sec,0.204172135019512
0.80226 sec,0.195397188711308
0.80326 sec,0.186592974560278
0.80426 sec,0.177760408438782
0.80526 sec,0.168900408781624
0.80626 sec,0.160013896496822
0.80726 sec,0.151101794876109
0.80826 sec,0.142165029505178
0.80926 sec,0.133204528173672
0.81026 sec,0.124221220784965
0.81126 sec,0.115216039265673
0.81226 sec,0.10618991747498
0.81326 sec,0.0971437911137309
0.81426 sec,0.0880785976333349
0.81526 sec,0.0789952761444725
0.81626 sec,0.0698947673255996
0.81726 sec,0.0607780133313023
0.81826 sec,0.0516459577004857
0.81926 sec,0.0424995452643606
0.82026 sec,0.0333397220543421
0.82126 sec,0.0241674352097763
0.82226 sec,0.014983632885522
0.82326 sec,0.0057892641594437
0.82426 sec,-0.00341472106022123
0.82526 sec,-0.012627372127601
0.82626 sec,-0.0218477377520411
0.82726 sec,-0.0310748660909934
0.82826 sec,-0.0403078048430341
0.82926 sec,-0.0495456013409075
0.83026 sec,-0.0587873026446535
0.83126 sec,-0.0680319556347688
0.83226 sec,-0.0772786071054331
0.83326 sec,-0.0865263038577191
0.83426 sec,-0.095774092792868
0.83526 sec,-0.105021021005555
0.83626 sec,-0.114266135877165
0.83726 sec,-0.123508485169057
0.83826 sec,-0.132747117115824
0.83926 sec,-0.141981080518513
0.84026 sec,-0.151209424837811
0.84126 sec,-0.160431200287204
0.84226 sec,-0.169645457926085
0.84326 sec,-0.178851249752759
0.84426 sec,-0.188047628797441
0.84526 sec,-0.197233649215127
0.84626 sec,-0.206408366378391
0.84726 sec,-0.215570836970078
0.84826 sec,-0.224720119075903
0.84926 sec,-0.233855272276928
0.85026 sec,-0.242975357741901
0.85126 sec,-0.25207943831947
0.85226 sec,-0.261166578630265
0.85326 sec,-0.270235845158806
0.85426 sec,-0.279286306345262
0.85526 sec,-0.288317032677022
0.85626 sec,-0.297327096780117
0.85726 sec,-0.306315573510421
0.85826 sec,-0.315281540044666
